RUN	test.scala.injectionprofile.BasicGet_OpenModel	basicget-openmodel	1589371734625	 	3.3.1
USER	basicGetScenario	1	START	1589371735606	1589371735606
REQUEST	1		basicGetRequest	1589371735634	1589371736125	OK	 
USER	basicGetScenario	2	START	1589371736534	1589371736534
REQUEST	2		basicGetRequest	1589371736535	1589371737012	OK	 
REQUEST	1		basicGetRequest	1589371737630	1589371738027	OK	 
USER	basicGetScenario	1	END	1589371735606	1589371738031
USER	basicGetScenario	3	START	1589371738537	1589371738537
REQUEST	2		basicGetRequest	1589371738547	1589371738936	OK	 
USER	basicGetScenario	2	END	1589371736534	1589371738936
REQUEST	3		basicGetRequest	1589371738537	1589371738987	OK	 
REQUEST	3		basicGetRequest	1589371740545	1589371740918	OK	 
USER	basicGetScenario	3	END	1589371738537	1589371740919
